SAMPLE ID,IGSN,SOURCE,REFERENCE,EXPEDITION ID,LATITUDE,LONGITUDE,LOC PREC,MAX ELEVATION,MIN ELEVATION,MIN AGE,AGE,MAX AGE,METHOD,ANALYZED MATERIAL,ROCK TYPE,ROCK NAME,MINERAL,SIO2,TIO2,AL2O3,CR2O3,FE2O3,FE2O3T,FEO,FEOT,MNO,MGO,CAO,NA2O,K2O,P2O5,NI,CO,CU,CD,ZN,S,LA,CE,PR,ND,SM,EU,GD,TB,DY,HO,ER,TM,YB,LU,BA,CD,CO,CR,CS,CU,HF,MO,NB,NI,PB,RB,S,SB,SC,SE,SN,SR,TA,TE,TH,TI,TL,U,V,Y,ZN,ZR,TI
COXLES-MAT-LBM10,,EARTHCHEMDB,"MEISEL, T; WALKER, R J; IRVING, A J; LORAND, J P, 2001",nr,-29.25,28.5,0.01,,,,,,Unknown,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COXLES-MAT-LBM11,,EARTHCHEMDB,"MEISEL, T; WALKER, R J; IRVING, A J; LORAND, J P, 2001",nr,-29.25,28.5,0.01,,,,,,Unknown,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,,,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COXLES-MAT-LBM8,,EARTHCHEMDB,"MEISEL, T; WALKER, R J; IRVING, A J; LORAND, J P, 2001",nr,-29.25,28.5,0.01,,,,,,Unknown,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,,,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COXLES-MAT-LBM9,,EARTHCHEMDB,"MEISEL, T; WALKER, R J; IRVING, A J; LORAND, J P, 2001",nr,-29.25,28.5,0.01,,,,,,Unknown,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,,,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD100,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,AAS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD100,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,COL,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD100,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,TITR,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,,,,,,,4.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD100,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,XRF,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,43.85,0.19,4.16,,3.92,,,,0.14,38.57,3.24,,0.2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD112,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,COL,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD112,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,TITR,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,,,,,,,5.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD106,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,COL,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD106,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,TITR,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,,,,,,,4.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD106,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,XRF,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,46.9,0.21,1.35,,2.8,,,,0.1,41.48,1.15,,0.0500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD119,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,COL,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD119,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,TITR,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,,,,,,,4.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD119,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,XRF,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,43.74,0.09,2.5,,4.03,,,,0.13,43.71,1.21,,0.0300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD120,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,TITR,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,,,,,,,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD120,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,XRF,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,44.32,0.34,2.59,,3.8,,,,0.11,41.5,1.8,,0.0700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD121,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,XRF,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,44.38,0.35,2.96,,4.8,,,,0.13,38.55,2.25,,0.1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD126,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,COL,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD126,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,TITR,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,,,,,,,5.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD126,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,XRF,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,43.07,0.15,1.11,,3.45,,,,0.1,45.04,0.49,,0.0300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANCSAF-RVD127,,EARTHCHEMDB,"DANCHIN, R V, 1979",nr,-25.6593,28.5078,0.0001,,,,,,TITR,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
